name,phone_numbers,email,websites,yearEstablished,acceptsVolunteers,facebookLink,twitterLink,linkedinLink,instagramLink,logo,address_line1,address_line2,address_line3,address_city,address_stateOrRegion,address_zipOrPostcode,address_country,address_countryCode,latitude,longitude,countries,missionStatement,missionStatementLink,organizationDescription,source_doc
Divine Mother and Child Foundation -DMAC,[],divinemotherchildfoundation@gmail.com,[],,,,,,,,,,,Koforidua,Ghana,,Ghana,GH,,,['Ghana'],"poised to implement strategies and remove barriers towards accelerated empowerment of girls, women, youth and children in Ghana",,,CSV Smart Merge v1
Emofra Africa,[],info@emofraafrica.org,['emofraafrica.org'],,,,,,,,368/2 Watson Ave,,,Unknown,Ghana,,Ghana,GH,,,['Ghana'],,,,CSV Smart Merge v1
First Intervention Ghana,['+233506618189'],figinfogh@gmail.com,['firstinterventionghana.org'],,,,,,,,CC 360,,,Cape Coast,Ghana,,Ghana,GH,,,['Ghana'],,,,CSV Smart Merge v1
Foundation Human Nature,[],,[],,,,,,,,,,,Unknown,Ghana,,Ghana,GH,,,['Ghana'],,,,CSV Smart Merge v1
Freedom Aid Ghana,['+233242576327'],freedomaidgh@gmail.com,['freedomaidghana.org'],,,,,,,,East Legon,,,Accra,Ghana,,Ghana,GH,5.6037,-0.187,['Ghana'],promoting health across the country,,,CSV Smart Merge v1
Gaslidd Ghana,[],gasliddnational@gmail.com,['gaslidd.org'],,,,,,,,"Department of Internal Medicine, Korle Bu Teaching Hospital",,,Accra,Ghana,,Ghana,GH,5.6037,-0.187,['Ghana'],,,,CSV Smart Merge v1
Generational Health Foundation,['+233502553447'],fordwor@generationalhealthfoundation.org,['generationalhealthfoundation.org'],,,,,,,,"Plot 18 Block U, Yaa Dufie Drive",,,Kumasi,Asokwa-Kumasi,,Ghana,GH,6.6666,-1.6163,['Ghana'],Help us improve access to quality medical and surgical care in our rural communities.,,,CSV Smart Merge v1
Ghana Adventist Health Services,[],,[],,,,,,,,,,,WIAMOASE,ASHANTI,,Ghana,GH,,,['Ghana'],,,,CSV Smart Merge v1
Ghana Cleft Foundation,['+233322040819' '+233275201020' '+233554469005'],,[],2005.0,,,,,,,"A1 -B1 Concourse, Komfo Anokye Teaching Hospital, Kumasi",,,Kumasi,Ghana,,Ghana,GH,6.6666,-1.6163,['Ghana'],,,"The idea for establishing the Ghana Cleft Foundation originated in 2005 from discussions among members of the Komfo Anokye Teaching Hospital Cleft Clinic. These discussions were informed by the firsthand experiences of the hardships faced by families of children born with cleft lip and palate. The Cleft Clinic attracts patients from all parts of the country, majority of whom are from low income backgrounds.",CSV Smart Merge v1
Ghana Make A Difference,[],gmad@ghanamakeadifference.org,['ghanamakeadifference.org'],,,,,,,,,,,Unknown,Central Region,,Ghana,GH,,,['Ghana'],Preserving families and protecting vulnerable children.,,,CSV Smart Merge v1
Gye Nyame Mobile Clinics,['+233504607741'],oribritta@gmail.com,['gnmobileclinic.org'],,,,,,,,,,,Kumasi,Ghana,,Ghana,GH,6.6666,-1.6163,['Ghana'],The Gye Nyame Mobile Clinics is an NGO which offers professional medical services in pediatric surge,,,CSV Smart Merge v1
HCDP Ghana,['+233362194688' '+233248654664'],info@gcdpghana.org,[],,,,,,,,P.O.BOX HP 457 HO V/R GHANA,,,Ho,Volta Region,,Ghana,GH,,,['Ghana'],,,,CSV Smart Merge v1
Heal Komfo Anokye,[],Info@healkomfoanokye.org,['healkomfoanokye.org' 'https://healkomfoanokye.org'],,,,,,,,BANTAMA,,,Kumasi,Ghana,,Ghana,GH,6.6666,-1.6163,['Ghana'],,,,CSV Smart Merge v1
Humanity and Community Development Projects HCDP Ghana,['+233362194688' '+233248654664'],info@gcdpghana.org,['gcdpghana.org'],2009.0,,,,,,,P.O.BOX HP 457,,,Ho,Volta Region,,Ghana,GH,,,['Ghana'],Partner and collaborate with local and international communities to establish and empower our communities to develop from their own selves or within based on self determination needs and developmental agendas,,,CSV Smart Merge v1
Le Mete NGO Ghana,[],,['lemeteghana.org'],,,,,,,,,,,Tamale,Ghana,,Ghana,GH,9.4072,-0.8533,['Ghana'],,,,CSV Smart Merge v1
LittleBigSouls Ghana,['+233545808866'],info@littlebigsoulsghana.com,['littlebigsoulsghana.com'],,,,,,,,B837/7 SHIASHIA CLOSE,,,Accra,Ghana,,Ghana,GH,5.6037,-0.187,['Ghana'],A charity for premature babies born in our region. We raise awareness of this serious issue; support,,,CSV Smart Merge v1
Luke Society Ghana,['+233246058744'],slhkasei@lukemissions.org,['lukemissions.org'],1988.0,,,,,,,,,,Kasei (via Ejura),Ashanti Region,,Ghana,GH,,,['Ghana'],To provide holistic affordable health services according to Christian principles on a non-commercial cost-effective basis.,,,CSV Smart Merge v1
Lynn Care Foundation,['+233241954473'],info@lynncarefoundation.org,['lynncarefoundation.org'],,,,,,,,"CT1703, Cantonment-Accra",,,Accra,Ghana,,Ghana,GH,5.6037,-0.187,['Ghana'],,,,CSV Smart Merge v1
Manna Mission,[],,[],,,,,,,,,,,Accra,Ghana,,Ghana,GH,5.6037,-0.187,['Ghana'],,,,CSV Smart Merge v1
Marie Stopes Ghana,['+233302208585' '+233800208585'],,[],,,,,,,,Takofiano Opposite Noka Shopping Centre on the Kintampo Road,,,Techiman,Ghana,,Ghana,GH,,,['Ghana'],,,,CSV Smart Merge v1
Marie Stopes Ghana,['+233302208585'],,[],,,,,,,,Opposite Las Palmas Restaurant,,,Accra,Ghana,,Ghana,GH,5.6037,-0.187,['Ghana'],,,,CSV Smart Merge v1
Marie Stopes Ghana,['+233302208585'],,[],,,,,,,,"Ashaiman Traffic, Papaye Building",,,Ashaiman,Ghana,,Ghana,GH,,,['Ghana'],,,,CSV Smart Merge v1
Marie Stopes Ghana,['+233302208585' '0800208585'],,[],,,,,,,,"Santasi Roundabout, Opposite Palace Supermarket, On top of Fidelity Bank",,,Santasi,Ghana,,Ghana,GH,,,['Ghana'],,,,CSV Smart Merge v1
Marie Stopes Ghana,['+233302208585'],,[],,,,,,,,"Takoradi Kwesimintsim Station, on top of Lower Pra Rural Bank, Kwesimintsim",,,Kwesimintsim,Ghana,,Ghana,GH,,,['Ghana'],,,,CSV Smart Merge v1
Marie Stopes International,[],,[],,,,,,,,Santasi,,,Kumasi,Ashanti,,Ghana,GH,6.6666,-1.6163,['Ghana'],,,,CSV Smart Merge v1
Marie Stopes International,[],,[],2006.0,,,,,,,26 Akwei Street,,,Accra,Ghana,,Ghana,GH,5.6037,-0.187,['Ghana'],"Children by choice, not chance",,,CSV Smart Merge v1
Medscreen Missions,['+233243842530' '+233203861333'],medscreenmissions@gmail.com,['medscreenmissions.org'],,,,,,,,Korle-Bu,,,Accra,Ghana,,Ghana,GH,5.6037,-0.187,['Ghana'],Offers free medical screening for all identifiable vulnerable groups in Ghana.,,,CSV Smart Merge v1
MSI Ghana,['+233800208585'],,[],2006.0,,,,,,,26 Akwei Street,,,Accra,Ghana,,Ghana,GH,5.6037,-0.187,['Ghana'],"Children by choice, not chance.",,,CSV Smart Merge v1
MSI Reproductive Choices Ghana,[],,['mariestopes.org.gh'],2006.0,,,,,,,"H/No. 36 Akwei Street, Tesano",,,Accra,Greater Accra,,Ghana,GH,5.6037,-0.187,['Ghana'],,,,CSV Smart Merge v1
OKB Hope Foundation,[],,['okbfoundation.org'],2017.0,,,,,,,,,,Kumasi,Ghana,,Ghana,GH,6.6666,-1.6163,['Ghana'],to bring healthcare to the doorsteps of those who need it most.,,,CSV Smart Merge v1
Passion Medical Laboratory,['+233245339921'],passionmedicallaboratory@gmail.com,['passionmedicallaboratory.com'],,,,,,,,Opposite Effiduase Government Hospital,,,Ejisu,Ghana,,Ghana,GH,,,['Ghana'],Passion Medical Laboratory is a NGO which seeks to bring quality medical laboratory services to all the inhabitants of the communities that we operate.,,,CSV Smart Merge v1
Patasi Mater Dei Clinic,[],,[],,,,,,,,Santasi Roundabout Kumasi,,,Kumasi,Ghana,,Ghana,GH,6.6666,-1.6163,['Ghana'],,,,CSV Smart Merge v1
Planned Parenthood Association of Ghana,[],,[],,,,,,,,Kparigu Clinic,,,Kparigu,Ghana,,Ghana,GH,,,['Ghana'],,,,CSV Smart Merge v1
Presbyterian Community Based Rehabilitation,[],cbrsandema@yahoo.com,['cbrsandema.org'],,,,,,,,P.O. Box 5,,,Sandema,Ghana,,Ghana,GH,,,['Ghana'],,,,CSV Smart Merge v1
Proffer Aid International Foundation,['+233248328977'],info@profferaid.com,['profferaid.org'],,,,,,,,P.O.Box LG1126,,,Legon,Accra,,Ghana,GH,,,['Ghana'],A Non Profit Organization with the primary aim of improving the quality of health in developing countries.,,,CSV Smart Merge v1
Right to Sight and Health,[],righttosightandhealth@gmail.com,['righttosightandhealth.org'],,,,,,,,"RC 89/B, Gumani",,,Tamale,Ghana,,Ghana,GH,9.4072,-0.8533,['Ghana'],"Our mission is to provide medical and eye-care to indigenous populations without such care available to them, due to extreme poverty and a total lack of health-care at the area where they live.",,,CSV Smart Merge v1
Saint John Ambulance Ghana,['+233303939258'],info@stjohn.org.gh,['stjohn.org.gh'],,,,,,,,Opposite Accra High Court,,,Accra,Ghana,,Ghana,GH,5.6037,-0.187,['Ghana'],,,,CSV Smart Merge v1
Salvation Army,['+233549789955'],,[],,,,,,,,,,,Maamobi,Greater Accra,,Ghana,GH,,,['Ghana'],Community health support and social services.,,,CSV Smart Merge v1
Sight For Africa,['+233273768462'],contact@sightforafrica.org,['sightforafrica.org'],2003.0,,,,,,,Owusu Kofi Street,,,Accra,Ghana,,Ghana,GH,5.6037,-0.187,['Ghana'],"to provide eye care services to the poor and vulnerable, and to avoid preventable blindness.",,,CSV Smart Merge v1
Sisters Hospitallers' English Province,['+233558218179'],info@stbenitomennihospital.org,['stbenitomennihospital.org'],,,,,,,,Dompoase,,,Dompoase,Ashanti Region,,Ghana,GH,,,['Ghana'],,,,CSV Smart Merge v1
Society for AIDS in Africa,['+233302913694'],info@saafrica.org,['saafrica.org'],1989.0,,,,,,,,,,Accra,Ghana,,Ghana,GH,5.6037,-0.187,['Ghana'],,,,CSV Smart Merge v1
St. John Ambulance Ghana,['+233303939258' '+233207761882'],info@stjohn.org.gh,['stjohn.org.gh'],,,,,,,,GA-144-7272 OPPOSITE NEW COURT COMPLEX JOHN EVANS ATTA MILLS STREET,,,Accra,Ghana,,Ghana,GH,5.6037,-0.187,['Ghana'],,,,CSV Smart Merge v1
SVG Africa,[],,[],,,,,,,,,,,Unknown,Ghana,,Ghana,GH,,,['Ghana'],"SVG aims with its programs to provide social and functional networks that serve as meeting point for

those willing to participate as volunteers

institutions that are part of developing processes

and the communities which are part of these programmes

Our programmes take place in Ghana, a country that faces numerous challenges to its development: lack of or inadequate access to water and sanitation, poor infrastructures, low enrolment rates in secondary and tertiary educational institutions, high maternal/child mortality rates.

However, Ghana is also host to a large talented young population/ workforce, is rich in resources, has one of the highest GDP growth figures in all of Africa, and is destination for increasing numbers of investors/tourism.

Civil society organisations are key to fair and inclusive development processes; globalisation processes tend to target economic rather than social growth or wellbeing; this sows the path towards increasing inequalities within populations.

Sustainable development thus should tackle growth across board: all sectors of society, in both rural and urban spaces. It must do so respecting local culture, the environment, and trying to ensure future generations' needs are protected today. 

Our contribution to this is to provide or assist those already providing services in the areas of Education, Health and Water and Sanitation, using a participatory approach -working alongside local rural populations, in locally relevant projects.",,,CSV Smart Merge v1
The Hunger Project-Ghana,[],,['thp.org'],,,,,,,,,,,Unknown,Ghana,,Ghana,GH,,,['Ghana'],,,,CSV Smart Merge v1
The Salvation Army Health Services,[],,[],,,,,,,,AJUMAKO BAAH,,,Unknown,Central,,Ghana,GH,,,['Ghana'],,,,CSV Smart Merge v1
The Thyroid Ghana Foundation,['+233243376304'],,[],,,,,,,,"112, Lane 10, Onyinase Street",,,Accra,Ghana,,Ghana,GH,5.6037,-0.187,['Ghana'],"Creating awareness of thyroid diseases in Ghana, creating opportunities for early detection of thyroid problems, supporting thyroid research and institutions involved in thyroid disease management, providing access to affordable treatment and advocating for improved healthcare practices for thyroid disease patients in the Country.",,,CSV Smart Merge v1
Voice Of The Innocent Children,['+233207444441'],info@voicgh.com,['voicgh.org'],,,,,,,,P. O Box LG260,,,Accra,Ghana,,Ghana,GH,5.6037,-0.187,['Ghana'],This is a legally registered Charity/ NGO that focuses primarily on CHILD HEALTH and EDUCATION.,,,CSV Smart Merge v1
Volta Regional Hospital-Hohoe,['+233509587135'],hohoe.mhvr@ghs.gov.gh,[],,,,,,,,Hospital Street,,,Hohoe,Ghana,,Ghana,GH,,,['Ghana'],"VISION: Excellent Healthcare Delivery, Healthy Life For All",,,CSV Smart Merge v1
West Africa AIDS Foundation,['+233302541220' '+233243362447'],,['waafweb.org'],,,,,,,,Plot 650 Ecomog Rd,,,Haatso,Ghana,,Ghana,GH,,,['Ghana'],"To help battle the spread of HIV and AIDS, TB as well as other diseases and mitigate their effects on communities by providing care and support to promote healthier individuals and for a better future.",,,CSV Smart Merge v1
Wipe-Away Foundation,['+233240130711'],muftipupur1@gmail.com,[],,,,,,,,Damongo-Sawla Highway,,,Damongo,Ghana,,Ghana,GH,,,['Ghana'],Restoring and Reviving Hopes,,,CSV Smart Merge v1
